date,code,name,turnover_ratio,pe,pb,average_price,money_ratio,circulating_market_cap,average_circulating_market_cap,dividend_ratio
2015-01-22,801130,纺织服装,2.4625,33.07,2.69,13.29,1.33,323416700600.0,4146368000.0,1.27
2015-01-22,801720,建筑装饰,2.1823,17.07,2.17,13.86,3.41,996485100900.0,15570079700.0,1.1
2015-01-22,801150,医药生物,2.1164,41.77,4.66,26.76,4.77,1677056887400.0,8826615200.0,0.61
2015-01-22,801110,家用电器,2.1313,15.42,2.94,17.23,1.34,522186766900.0,9852580500.0,2.01
2015-01-22,801080,电子,2.7839,57.79,3.68,19.51,3.5,782856239700.0,5552171900.0,0.41
2015-01-22,801760,传媒,3.1828,60.64,5.92,33.76,3.72,704264245600.0,11545315500.0,0.34
2015-01-22,801740,国防军工,5.3271,121.91,4.44,26.33,4.45,619112338400.0,21348701300.0,0.18
2015-01-22,801210,休闲服务,2.989,59.07,4.28,20.95,0.51,173633091500.0,5261608800.0,0.39
2015-01-22,801040,钢铁,1.6564,46.69,1.44,7.36,1.28,536664484400.0,16262560100.0,0.55
2015-01-22,801170,交通运输,1.4093,24.43,2.09,10.28,3.17,1318478194900.0,15511508200.0,1.39
2015-01-22,801230,综合,2.5118,54.05,3.92,11.94,0.99,262394716500.0,4950843700.0,0.26
2015-01-22,801020,采掘,0.747,23.22,1.8,10.86,2.65,2993301585500.0,47512723600.0,1.48
2015-01-22,801790,非银金融,3.2497,33.45,3.39,23.24,14.18,3303055242300.0,91751534500.0,0.57
2015-01-22,801880,汽车,1.8044,19.47,2.66,16.58,2.49,1092638281300.0,10406078900.0,1.35
2015-01-22,801120,食品饮料,1.5278,24.49,3.77,21.93,1.57,915188583600.0,13458655600.0,1.79
2015-01-22,801730,电气设备,2.8184,47.26,3.53,17.26,3.74,935486109600.0,6363851100.0,0.56
2015-01-22,801200,商业贸易,2.5863,32.93,2.76,12.01,2.64,677920210800.0,7136002200.0,0.86
2015-01-22,801030,化工,1.4475,34.67,2.79,13.88,4.58,1821774886300.0,7466290500.0,0.79
2015-01-22,801180,房地产,2.2251,19.16,2.42,10.71,5.36,1551838003700.0,10776652800.0,1.22
2015-01-22,801750,计算机,3.5476,73.01,6.59,33.17,5.32,1058993811000.0,8022680400.0,0.35
2015-01-22,801010,农林牧渔,3.6057,58.85,3.7,13.34,2.22,451288273200.0,5571460200.0,0.43
2015-01-22,801140,轻工制造,2.704,50.66,2.84,12.9,1.45,353807060300.0,4314720200.0,0.67
2015-01-22,801710,建筑材料,1.8389,20.76,2.23,13.46,1.03,400058339500.0,5971020000.0,1.05
2015-01-22,801050,有色金属,4.2035,51.91,3.38,15.66,5.96,984912975300.0,10367505000.0,0.48
2015-01-22,801160,公用事业,1.5371,21.45,2.67,14.05,2.99,1224669805200.0,11663522000.0,1.39
2015-01-22,801770,通信,2.2763,45.06,3.23,18.84,1.92,465577785000.0,7891148900.0,0.42
2015-01-22,801780,银行,0.6148,7.04,1.25,9.99,6.36,5508290944100.0,344268184000.0,3.32
2015-01-22,801890,机械设备,3.1291,48.93,3.1,17.28,7.07,1443784874100.0,6304737400.0,0.65
2015-01-23,801130,纺织服装,2.3906,33.09,2.69,13.24,1.29,323070853000.0,4141934000.0,1.26
2015-01-23,801720,建筑装饰,2.2793,17.03,2.16,13.71,3.57,994538538500.0,15539664700.0,1.1
2015-01-23,801150,医药生物,2.1018,41.43,4.57,26.48,4.59,1667823689300.0,8778019400.0,0.62
2015-01-23,801110,家用电器,1.9609,15.28,2.92,17.08,1.29,517654959000.0,9767074700.0,2.03
2015-01-23,801080,电子,2.6509,57.01,3.62,19.19,3.26,772032712200.0,5475409300.0,0.41
2015-01-23,801760,传媒,2.8239,59.27,5.79,32.83,3.27,688926135700.0,11293871100.0,0.35
2015-01-23,801740,国防军工,4.1778,119.31,4.34,25.64,3.46,604897127200.0,20858521600.0,0.18
2015-01-23,801210,休闲服务,3.965,59.53,4.29,20.88,0.59,174501059000.0,5287910900.0,0.39
2015-01-23,801040,钢铁,1.6718,46.89,1.45,7.38,1.32,536505487200.0,16257742000.0,0.54
2015-01-23,801170,交通运输,1.5802,24.45,2.09,10.26,3.57,1319568735400.0,15524338100.0,1.39
2015-01-23,801230,综合,2.4532,53.79,3.9,11.94,0.95,261442802400.0,4932883100.0,0.26
2015-01-23,801020,采掘,0.6757,23.11,1.79,10.75,2.37,3014664072600.0,47851810700.0,1.49
2015-01-23,801790,非银金融,3.7852,34.12,3.46,23.63,16.92,3378382551300.0,93843959800.0,0.56
2015-01-23,801880,汽车,1.5198,19.31,2.63,16.37,2.1,1082112089800.0,10305829400.0,1.36
2015-01-23,801120,食品饮料,1.6768,24.29,3.74,21.71,1.62,907077817900.0,13339379700.0,1.8
2015-01-23,801730,电气设备,3.4609,47.28,3.52,17.05,4.48,937245116500.0,6375817100.0,0.56
2015-01-23,801200,商业贸易,2.5473,32.72,2.74,11.93,2.58,674374830000.0,7098682400.0,0.86
2015-01-23,801030,化工,1.5271,34.69,2.8,13.84,4.93,1823424400800.0,7473050800.0,0.78
2015-01-23,801180,房地产,2.3374,19.28,2.44,10.73,5.58,1559031373100.0,10826606800.0,1.22
2015-01-23,801750,计算机,3.3847,70.74,6.39,31.97,5.11,1026387490600.0,7775662800.0,0.36
2015-01-23,801010,农林牧渔,2.9741,58.08,3.65,13.17,1.87,445307815100.0,5497627300.0,0.44
2015-01-23,801140,轻工制造,2.5334,50.33,2.82,12.75,1.32,352066862100.0,4293498300.0,0.68
2015-01-23,801710,建筑材料,1.9977,20.65,2.22,13.33,1.08,398744702400.0,5951413500.0,1.05
2015-01-23,801050,有色金属,3.6551,51.31,3.34,15.47,4.98,973059446500.0,10242731000.0,0.48
2015-01-23,801160,公用事业,1.5645,21.34,2.65,13.91,2.9,1219849224400.0,11617611700.0,1.39
2015-01-23,801770,通信,2.1656,44.39,3.19,18.55,1.78,459451995500.0,7787322000.0,0.42
2015-01-23,801780,银行,0.7154,7.08,1.26,10.05,7.39,5548435724400.0,346777232800.0,3.3
2015-01-23,801890,机械设备,2.5621,48.33,3.06,17.13,5.83,1424356854000.0,6219898900.0,0.66
2015-01-26,801130,纺织服装,3.0564,34.4,2.8,13.62,1.81,336243813800.0,4310818100.0,1.21
2015-01-26,801720,建筑装饰,1.8337,17.31,2.2,13.98,3.24,1006087243500.0,15720113200.0,1.08
2015-01-26,801150,医药生物,2.0516,42.04,4.68,26.84,5.02,1700376190400.0,8949348400.0,0.61
2015-01-26,801110,家用电器,2.0364,15.46,2.95,17.29,1.35,523669012800.0,9880547400.0,2.0
2015-01-26,801080,电子,2.3881,58.02,3.69,19.51,3.19,785413128300.0,5570305900.0,0.4
2015-01-26,801760,传媒,2.5213,60.97,5.95,33.83,3.2,708672447500.0,11617581100.0,0.34
